Architecture,N,Events,C-statistic,AUPRC,Brier,ECE,Precision at 100
Logistic,199185,346,0.762 (0.738-0.784),0.006 (0.005-0.008),0.002 (0.002-0.002),0.001 (0.001-0.001),0.009 (0.006-0.012)
Time-only baseline,199185,346,0.511 (0.487-0.534),0.002 (0.001-0.002),0.002 (0.002-0.002),0.001 (0.001-0.001),0.001 (0.001-0.003)
LightGBM,199185,346,0.679 (0.651-0.708),0.004 (0.003-0.005),0.043 (0.041-0.046),0.062 (0.059-0.064),0.008 (0.005-0.011)
LightGBM + focal,199185,346,0.715 (0.691-0.740),0.005 (0.004-0.006),0.082 (0.082-0.082),0.234 (0.233-0.235),0.009 (0.006-0.013)
Transformer,199185,346,0.753 (0.730-0.778),0.005 (0.004-0.009),0.022 (0.022-0.023),0.128 (0.126-0.129),0.006 (0.003-0.008)
